127.0.0.1, 2014-07-21 16:59:41, GET, /, HTTP/1.1, 200, 0.971000
127.0.0.1, 2014-07-21 17:00:26, GET, /, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/css/style.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/css/flexslider.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/libs/jquery.hashchange.min.js, HTTP/1.1, 304, 0.188000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/logo.jpg, HTTP/1.1, 304, 0.215000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/script.js, HTTP/1.1, 304, 0.027000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/blogger_32.png, HTTP/1.1, 304, 0.017000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/libs/modernizr-2.5.3-respond-1.1.0.min.js, HTTP/1.1, 304, 0.257000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/libs/bootstrap/bootstrap.min.js, HTTP/1.1, 304, 0.261000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/libs/jquery.flexslider-min.js, HTTP/1.1, 304, 0.276000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/facebook_32.png, HTTP/1.1, 304, 0.044000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/js/plugins.js, HTTP/1.1, 304, 0.309000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/twitter_32.png, HTTP/1.1, 304, 0.023000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/campaign8.png, HTTP/1.1, 304, 0.016000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/gplus_32.png, HTTP/1.1, 304, 0.043000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/child_marriage2.JPG, HTTP/1.1, 304, 0.046000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/2.JPG, HTTP/1.1, 304, 0.057000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/education3.JPG, HTTP/1.1, 304, 0.067000
127.0.0.1, 2014-07-21 17:00:26, GET, /init/static/img/Computerclass.JPG, HTTP/1.1, 304, 0.081000
127.0.0.1, 2014-07-21 17:54:42, GET, /init/default/handler/media, HTTP/1.1, 200, 1.972000
